,Description,City,Category,Payment Information,Paid,Header,Date,Time
0,"On December 4, a raki festival will be held in Podgorica🍸 in the lobby of the [CUE hotel] (https://goo.gl/maps/YGHNbBfBYvxGRFnv5) (this is in the Capital Plaza)

120 producers from Montenegro and neighboring countries will present their alcoholic beverages",Podgorica,5,,False,"On December 4, a raki festival will be held in Podgorica🍸 in the lobby of the [CUE hotel] (https://goo.gl/maps/YGHNbBfBYvxGRFnv5) (this is in the Capital Plaza)

120 producers from Montenegro and neighboring countries will present their alcoholic beverages",12/04/2022,00:00
1,"BUDVA
☕️ STYLISH BREAKFAST

💫Let's dive into the world of our archetypes and style together! * Archetypes are our subpersonalities, manifested outside.

IN THE PROGRAM seed:
📌 study yourself in astrology and archetypes
📌 recommendations from the stylist on appearance and style
📌 breakfast🧇
📌 pleasant communication with interesting women

You will learn:
⭐️ what kind of woman are you through astrology and personal harmonization list
⭐️ a ready-made wardrobe and style scheme: what to wear, what colors, what makeup, hairstyles are suitable
⭐️ basic wardrobe. Personal capsule. Fundamentals of formation.

🪄As a gift you get 2 style guides from an astropsychologist.

Experts:
🪄 Astropsychologist
https://instagram.com/anastasia.noz
🪄Shopping guide in Montenegro https://instagram.com/kuznecova_luda

After unpacking your personality, you better understand yourself and easily communicate your values ​​and style.

📌 November 16, at 10:00
Participation fee: 30€ (excluding breakfast)
Perla Restaurant
➡️Book in PM @AnastasiiaZas

WAIT FOR YOU!✨",Budva,6,30 €,True,"BUDVA
☕️ STYLISH BREAKFAST

💫Let's dive into the world of our archetypes and style together!",11/16/2022,10:00
2,"BUDVA 🇲🇪 ART PARTY🎉

Do you want to have a great SUNDAY? We invite you to our Art Party 😊

Program :

🔥 3 hours of creative reboot awaits you at the PERLA restaurant, a cozy company, gifts from us 🎁

🔥 Professional canvases, all material, inventory, packaging of paintings!

🔥 A glass of wine and snacks from the restaurant!

🔥 Professional photographer!

📍November 13 - SUNDAY, starting at 13:00!
📍Price 55 €, all inclusive!
📍No experience or skills needed, everyone can do it! We have a large selection of different paintings for you 👌

WAITING FOR YOU 🥳

Telegram : @art_mont

Instagram : http://instagram.com/ru_art_monte",Budva,4,55 €,True,"BUDVA 🇲🇪 ART PARTY🎉

Do you want to have a great SUNDAY?",11/13/2022,13:00
3,"🇲🇪 Dancing for children in Hergets Novi💃🏼

Dear friends, we invite your children to dance. Recruitment is open for groups for performances and competitions, and for general development:

1. Group 3-5 years
Wednesday 16:00-16:45
Sunday 10:00-10:45

2. Group 6-9 years old
Thursday 17:00-18:00
Sunday 11:00-12:15

3. Group 10-12 years old
Tuesday 19:00-20:00
Thursday 19:00-20:00
Saturday 14:00-15:30
Sunday 12:30-14:00

4. Group 13+
Tuesday, Thursday, Friday 20:00
Saturday 11:00
Sunday 14:00

Prices:
Group 3-5 – 25€ per month

Group 6-9 – 30€ per month

Group 10-12 – 35€ per month

Group 13+ – 45€ per month

If more than one child goes from one family, then from each subscription -5€.

For all questions contact @mary_karz",Herceg Novi,2,25 €,True,"🇲🇪 Dancing for children in Hergets Novi💃🏼

Dear friends, we invite your children to dance.",11/02/2022,10:00
4,"Hi all! The next QUIZ will take place on November 12 (Saturday) at 19:00 in Budva at the KRALj restaurant, Slovenska Obala. Game fee - 7 euros per person. Children under 10 years free. Whatsapp / viber / telegram - 89058261602. We will be glad to new members! Thank you)",Budva,1,7 €,True,Hi all!,11/13/2022,19:00
5,"Baby theater for children from 1 to 3 years old!
Performance ""Sea history"" for the smallest spectators and their parents 12.11 (Saturday) and 13.11 (Sunday) at 10:00.
Address: Budva, Zavala, Dukley Gardens, Hotel Harmonia by Dukley.
All inquiries and ticket reservations (10e) by tel. +38269740077 (WA, Vib, Tel)
Instagram: baby.theatre.mne",Budva,4,,False,Baby theater for children from 1 to 3 years old!,11/13/2022,10:00
6,"🇲🇪 On the square in front of the Old Town of the tourist capital of Montenegro Budva on Saturday [will take place] (https://www.cdm.me/grad/za-vikend-veselo-u-budvi/) a series of events:

11:00 Section of young folklorists of the cultural center Stara Budva
12:00 Creative workshop: ""Ball under autumn hats"", performance of the Kindergarten
13:00 Mascot show, children's choir in D minor
14:00 Music performance
15:00 DJ CHBX, face painting

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Budva,7,,False,"🇲🇪 On the square in front of the Old Town of the tourist capital of Montenegro Budva on Saturday [will take place] (https://www.cdm.me/grad/za-vikend-veselo-u-budvi/) a series of events:

11:00 Section of young folklorists of the cultural center Stara Budva
12:00 Creative workshop: ""Ball under autumn hats"", performance of the Kindergarten
13:00 Mascot show, children's choir in D minor
14:00 Music performance
15:00 DJ CHBX, face painting

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",11/13/2022,11:00
7,"Blue Cat - Art cafe-bar in the center of the old town of Budva!

LİVE MUSİC - Friday and Saturday! 11.11-12.11

Live music and a 20% discount * for the second cocktail from 20:00-22:00 💃

* Be sure to tell the employee about the promotion!

We invite everyone to look into this cozy place💫.

Waiting for you:
- Good music🎶
- Nice and atmospheric environment💃
- Affectionate, local cats🐈‍⬛
- Exclusive COCKTAILS from the bartender!🍹

Our Instagram: bluecatartcafe",Budva,2,,False,Blue Cat - Art cafe-bar in the center of the old town of Budva!,11/13/2022,20:00
8,"The intellectual game ""Question and Answer"" will take place on November 9 (Wednesday) at 19:00 in Budva at the Kafana Stella cafe (Mainski Put 34). The maximum number of players in a team is 6 people. Game fee - 5 euros per person. Children under 10 years free. Viber / whatsapp / telegram - 89058261602. Come yourself and tell your friends and acquaintances!😉",Budva,3,5 €,True,"The intellectual game ""Question and Answer"" will take place on November 9 (Wednesday) at 19:00 in Budva at the Kafana Stella cafe (Mainski Put 34).",11/13/2022,19:00
9,"🇲🇪 Traditional Montenegrin **Olive Festival **(Maslinijada) [will take place](http://barinfo.me/jubilarna-maslinijada-od-25-do-27-novembra/) this year in Stari Bar 25, 26 and November 27th.

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Bar,5,,False,"🇲🇪 Traditional Montenegrin **Olive Festival **(Maslinijada) [will take place](http://barinfo.me/jubilarna-maslinijada-od-25-do-27-novembra/) this year in Stari Bar 25, 26 and November 27th.",11/25/2022,00:00
